Cryptocurrency;Price in USD;Date
Bitcoin;42853,52012;08.02.2021
Ethereum;1694,450071;08.02.2021
Tether;1,001700863;08.02.2021
Cardano;0,672832349;08.02.2021
Polkadot;21,52535721;08.02.2021
XRP;0,427335808;08.02.2021
Binance Coin;71,99488043;08.02.2021
Litecoin;159,5729131;08.02.2021
Chainlink;25,00523371;08.02.2021
Dogecoin;0,076924937;08.02.2021
Bitcoin Cash;464,7316215;08.02.2021
Stellar;0,383725375;08.02.2021
USD Coin;0,999240993;08.02.2021
Aave;494,2526241;08.02.2021
Uniswap;19,1629847;08.02.2021
Wrapped Bitcoin;43067,84795;08.02.2021
Bitcoin SV;187,982316;08.02.2021
EOS;3,461505203;08.02.2021
Cosmos;14,03865082;08.02.2021
Elrond;161,1585334;08.02.2021
Monero;159,2593822;08.02.2021
NEM;0,309200821;08.02.2021
TRON;0,036923191;08.02.2021
THETA;2,582341097;08.02.2021
Maker;2527,300972;08.02.2021
Tezos;3,298723533;08.02.2021
Synthetix;20,48912894;08.02.2021
Avalanche;28,24027475;08.02.2021
Compound;466,4162947;08.02.2021
Solana;7,232373387;08.02.2021
VeChain;0,02946599;08.02.2021
Dai;1,001756422;08.02.2021
SushiSwap;13,90551368;08.02.2021
Neo;25,09074817;08.02.2021
Huobi Token;8,894518322;08.02.2021
IOTA;0,601194648;08.02.2021
Terra;3,369085617;08.02.2021
UMA;28,68436992;08.02.2021
Binance USD;1,0004;08.02.2021
Crypto.com Coin;0,067830227;08.02.2021
FTX Token;15,66897857;08.02.2021
UNUS SED LEO;1,38780041;08.02.2021
The Graph;0,974051587;08.02.2021
Celsius;5,106815955;08.02.2021
Filecoin;24,47213304;08.02.2021
Dash;119,9303964;08.02.2021
Algorand;0,875880732;08.02.2021
yearn.finance;31750,37506;08.02.2021
0x;1,472108062;08.02.2021
Decred;87,59998545;08.02.2021
Zcash;95,088096;08.02.2021
Kusama;121,9238122;08.02.2021
Revain;0,011673046;08.02.2021
Ethereum Classic;8,527921949;08.02.2021
NEAR Protocol;3,095641033;08.02.2021
Zilliqa;0,078599174;08.02.2021
Nexo;1,532441278;08.02.2021
Waves;8,048307832;08.02.2021
Loopring;0,655800915;08.02.2021
Ren;0,792491483;08.02.2021
SwissBorg;0,835307475;08.02.2021
renBTC;42829,91435;08.02.2021
Hedera Hashgraph;0,09722838;08.02.2021
OMG Network;4,699397562;08.02.2021
THORChain;4,079605695;08.02.2021
Curve DAO Token;2,974035416;08.02.2021
Celo;3,465350009;08.02.2021
1inch;5,060306775;08.02.2021
Basic Attention Token;0,408800353;08.02.2021
Ontology;0,729419208;08.02.2021
DigiByte;0,041285292;08.02.2021
Voyager Token;2,541592484;08.02.2021
BitTorrent;0,000526561;08.02.2021
Nano;3,746076182;08.02.2021
ICON;0,837865545;08.02.2021
HUSD;0,99819107;08.02.2021
HedgeTrade;1,330135758;08.02.2021
Quant;38,87704648;08.02.2021
Qtum;4,452626529;08.02.2021
Alpha Finance Lab;2,275113305;08.02.2021
Siacoin;0,008554555;08.02.2021
PancakeSwap;3,387218875;08.02.2021
Kyber Network;1,83315293;08.02.2021
Horizen;35,00541065;08.02.2021
Reserve Rights;0,040024327;08.02.2021
OKB;6,265025703;08.02.2021
TrueUSD;1,000010972;08.02.2021
Ampleforth;1,348013224;08.02.2021
Matic Network;0,072627378;08.02.2021
Decentraland;0,233153903;08.02.2021
Fantom;0,135747393;08.02.2021
Stacks;0,468102262;08.02.2021
Enjin Coin;0,386090594;08.02.2021
IOST;0,019885448;08.02.2021
Ocean Protocol;0,761536521;08.02.2021
Bancor;2,52044642;08.02.2021
Bitcoin BEP2;42236,16228;08.02.2021
Ravencoin;0,033918834;08.02.2021
Verge;0,016796976;08.02.2021
