Cryptocurrency;Price in USD;Date
Bitcoin;40828,81724;06.02.2021
Ethereum;1672,458729;06.02.2021
Tether;1,001626558;06.02.2021
XRP;0,448557964;06.02.2021
Polkadot;20,01969586;06.02.2021
Cardano;0,540960213;06.02.2021
Binance Coin;71,66030153;06.02.2021
Litecoin;162,204075;06.02.2021
Chainlink;25,11709421;06.02.2021
Bitcoin Cash;478,3074383;06.02.2021
Stellar;0,341888607;06.02.2021
Dogecoin;0,050916332;06.02.2021
USD Coin;1,000101551;06.02.2021
Uniswap;19,47546084;06.02.2021
Aave;474,1567045;06.02.2021
Wrapped Bitcoin;40841,60655;06.02.2021
Bitcoin SV;190,8661054;06.02.2021
EOS;3,173859058;06.02.2021
Monero;156,1855291;06.02.2021
TRON;0,034762304;06.02.2021
Maker;2475,524552;06.02.2021
NEM;0,269827015;06.02.2021
Cosmos;11,45242603;06.02.2021
Tezos;3,149282346;06.02.2021
Synthetix;19,99958921;06.02.2021
THETA;2,25983567;06.02.2021
Compound;455,5044476;06.02.2021
VeChain;0,028896829;06.02.2021
Dai;1,001803014;06.02.2021
SushiSwap;13,64641785;06.02.2021
Neo;24,59850221;06.02.2021
Huobi Token;8,240584622;06.02.2021
Elrond;94,88580622;06.02.2021
IOTA;0,57226434;06.02.2021
UMA;28,54394304;06.02.2021
Crypto.com Coin;0,068934981;06.02.2021
Solana;5,742241155;06.02.2021
Binance USD;1,0003;06.02.2021
FTX Token;15,07445313;06.02.2021
UNUS SED LEO;1,386330632;06.02.2021
Avalanche;17,2111485;06.02.2021
Terra;2,677977808;06.02.2021
Filecoin;24,92647453;06.02.2021
Celsius;5,02898647;06.02.2021
Dash;118,5684572;06.02.2021
yearn.finance;31196,75278;06.02.2021
Decred;86,41064933;06.02.2021
Zcash;97,23183003;06.02.2021
0x;1,419169035;06.02.2021
The Graph;0,840289124;06.02.2021
Ethereum Classic;8,529167759;06.02.2021
Revain;0,011676763;06.02.2021
Algorand;0,762546758;06.02.2021
Kusama;112,8446784;06.02.2021
Zilliqa;0,077882517;06.02.2021
Waves;7,876306575;06.02.2021
SwissBorg;0,84661559;06.02.2021
Ren;0,783987364;06.02.2021
Nexo;1,38787382;06.02.2021
NEAR Protocol;2,795065128;06.02.2021
Loopring;0,633544385;06.02.2021
Hedera Hashgraph;0,099764498;06.02.2021
renBTC;40863,90292;06.02.2021
Curve DAO Token;3,146911551;06.02.2021
OMG Network;4,79417046;06.02.2021
1inch;5,288671435;06.02.2021
Celo;3,056619926;06.02.2021
THORChain;3,526228619;06.02.2021
Voyager Token;2,347723178;06.02.2021
Ontology;0,648146012;06.02.2021
DigiByte;0,036465545;06.02.2021
Basic Attention Token;0,342140006;06.02.2021
Nano;3,555322212;06.02.2021
HedgeTrade;1,350673499;06.02.2021
HUSD;0,999477289;06.02.2021
ICON;0,781881226;06.02.2021
BitTorrent;0,000459984;06.02.2021
Quant;35,45899786;06.02.2021
Alpha Finance Lab;2,391797759;06.02.2021
OKB;6,579998591;06.02.2021
Siacoin;0,008322052;06.02.2021
Horizen;36,09059254;06.02.2021
Qtum;3,918253169;06.02.2021
Ampleforth;1,520816066;06.02.2021
Reserve Rights;0,040540164;06.02.2021
TrueUSD;1,000169101;06.02.2021
Kyber Network;1,808659425;06.02.2021
Fantom;0,139550367;06.02.2021
Stacks;0,455236626;06.02.2021
IOST;0,020349034;06.02.2021
Decentraland;0,209070974;06.02.2021
PancakeSwap;3,060740194;06.02.2021
Enjin Coin;0,378003062;06.02.2021
Bancor;2,435992241;06.02.2021
Ocean Protocol;0,683056797;06.02.2021
Bitcoin BEP2;40831,60221;06.02.2021
Verge;0,016006401;06.02.2021
TerraUSD;1,009233776;06.02.2021
FunFair;0,038275997;06.02.2021
